time,timesecs,timens,j0pos,j1pos,j2pos,j3pos,j4pos,j5pos,j0vel,j1vel,j2vel,j3vel,j4vel,j5vel,j0acc,j1acc,j2acc,j3acc,j4acc,j5acc
 2.25,2,255543500,0.996461,-2.060152,2.014381,-1.525601,-1.571686,0.996461,1.501124,-0.298156,0.145927,0.153599,-0.000812,1.501124,2.325994,2.194317,-1.162864,-1.028504,0.000362,2.325997 
 2.27,2,274773812,1.025759,-2.06548,2.016972,-1.522838,-1.571702,1.025759,1.538839,-0.254241,0.123066,0.132597,-0.0008,1.538839,1.588695,2.363545,-1.209871,-1.151336,0.000923,1.588698 
 2.29,2,294094506,1.055786,-2.069952,2.019124,-1.52049,-1.571717,1.055786,1.56977,-0.208604,0.100001,0.11007,-0.00078,1.56977,1.614609,2.362886,-1.178867,-1.181609,0.001062,1.614611 
 2.31,2,313468534,1.086502,-2.07355,2.020841,-1.518579,-1.571732,1.086502,1.601322,-0.162772,0.077376,0.086911,-0.000758,1.601322,1.644204,2.370787,-1.15798,-1.210329,0.001207,1.644206 
 2.33,2,332856509,1.117857,-2.076261,2.022124,-1.517122,-1.571747,1.117857,1.633508,-0.116663,0.055037,0.063189,-0.000734,1.633509,1.677832,2.388233,-1.14764,-1.238048,0.001356,1.677835 
 2.35,2,352217143,1.149798,-2.078071,2.022974,-1.516131,-1.571761,1.149797,1.633508,-0.069266,0.0324,0.038448,-0.000692,1.633509,-1.648648,2.460946,-1.168556,-1.293073,0.002848,-1.648647 
 2.37,2,372291033,1.182262,-2.078975,2.023393,-1.515615,-1.571774,1.182262,1.601322,-0.022315,0.010163,0.01372,-0.000637,1.601323,-1.560547,2.222304,-1.049612,-1.173376,0.002722,-1.560546 
 2.39,2,393057071,1.215184,-2.078967,2.023381,-1.515579,-1.571787,1.215184,1.562076,0.021414,-0.010489,-0.009379,-0.000579,1.562076,-2.198699,1.984227,-0.937017,-1.048618,0.002844,-2.198698 
 2.41,2,414703427,1.248493,-2.078048,2.022939,-1.516022,-1.571798,1.248493,1.516135,0.061789,-0.029609,-0.030665,-0.000519,1.516136,-2.049721,1.751577,-0.831976,-0.920963,0.00264,-2.04972 
 2.43,2,437214088,1.282113,-2.076222,2.022066,-1.516941,-1.571809,1.282113,1.471546,0.098918,-0.047347,-0.050086,-0.000462,1.471547,-1.91538,1.551808,-0.745976,-0.807155,0.002449,-1.915379 
 2.46,2,460567803,1.315966,-2.073496,2.020761,-1.518327,-1.57182,1.315966,1.421303,0.132368,-0.063573,-0.067348,-0.000405,1.421304,-2.368306,1.31116,-0.64251,-0.67053,0.002415,-2.368306 
 2.48,2,484980101,1.349973,-2.069883,2.019021,-1.520167,-1.571829,1.349973,1.365844,0.162131,-0.078341,-0.082387,-0.000349,1.365845,-2.179845,1.131335,-0.569111,-0.564006,0.002177,-2.179845 
 2.51,2,510438527,1.384053,-2.065396,2.016846,-1.522443,-1.571837,1.384053,1.306181,0.187951,-0.091561,-0.095038,-0.000295,1.306182,-2.488813,0.897524,-0.469245,-0.430471,0.002052,-2.488814 
 2.53,2,537190737,1.418127,-2.060054,2.014233,-1.525136,-1.571844,1.418127,1.241586,0.209699,-0.103185,-0.10522,-0.000244,1.241586,-2.341407,0.731595,-0.400961,-0.332757,0.001811,-2.341408 
 2.56,2,565293770,1.452117,-2.053879,2.011179,-1.528221,-1.57185,1.452117,1.241586,0.241355,-0.120198,-0.119855,-0.000206,1.241586,2.349608,1.582292,-0.842583,-0.736955,0.000966,2.349609 
 2.59,2,591854530,1.485948,-2.046894,2.00768,-1.531672,-1.571855,1.485948,1.306181,0.28625,-0.14446,-0.140412,-0.000177,1.306182,2.515368,1.801876,-0.987008,-0.811927,0.001159,2.51537 
 2.61,2,616953220,1.519546,-2.039126,2.003735,-1.53546,-1.57186,1.519546,1.365844,0.333056,-0.17056,-0.161047,-0.000145,1.365845,2.218433,1.921072,-1.089939,-0.828501,0.001404,2.218434 
 2.64,2,640857801,1.552846,-2.030602,1.999338,-1.539552,-1.571863,1.552846,1.421303,0.381842,-0.198689,-0.181639,-0.00011,1.421304,2.426173,2.166325,-1.267682,-0.895791,0.001584,2.426175 
 2.66,2,663579956,1.585784,-2.021352,1.994488,-1.543917,-1.571865,1.585784,1.471546,0.431928,-0.228623,-0.201731,-7.1e-05,1.471547,1.974315,2.232475,-1.362599,-0.867513,0.001795,1.974316 
